No,Nama Sekolah,BP,Status,siswa_total,jumlah_guru,staf_total,jumlah_ruangan,daya_listrik,wilayah_total,skor_akreditasi,Lintang,Bujur,pca1,pca2,dbscanonly_kluster,PeningkatanDBSCAN_3klaster,skor_akreditasi_n,siswa_total_n,jumlah_ruangan_n,wilayah_total_n,daya_listrik_n,jumlah_guru_n,staf_total_n,skor_rekomendasi,peringkat
5519,UPT SDN 1 MAPPAK,SD,Negeri,113,8,2,7,3500,2693,70,-3.076922,119.832931,-0.937568904,-0.066851922,1,0,1,0.071024513,0.920454545,0.997163181,0.987712665,0.936,0.9375,94.07983911,53
1583,SD NEGERI 71 BARUGAE,SD,Negeri,124,9,3,7,900,3992,70,-5.584814,119.962321,-0.727189932,-0.179522056,1,0,1,0.077938404,0.920454545,0.99577679,0.997164461,0.928,0.90625,94.05840547,54
7134,SMP NEGERI 8 SATAP LK TUPABBIRING,SMP,Negeri,78,12,2,4,2200,3853,70,-4.834805,119.581705,-1.082768755,-0.072422993,2,0,1,0.04902577,0.954545455,0.995925141,0.992438563,0.904,0.9375,94.05254299,55
2878,SD NEGERI 604 TETEWAKA,SD,Negeri,171,11,4,9,3500,2713,70,-2.652895,120.431791,-0.179129315,-0.255695115,2,0,1,0.107479573,0.897727273,0.997141836,0.987712665,0.912,0.875,94.02009038,56
4250,UPT SD NEGERI 278 PINRANG,SD,Negeri,114,8,2,7,5500,3038,70,-3.167787,119.815116,-0.916132001,-0.024814448,2,0,1,0.071653048,0.920454545,0.996794971,0.980442053,0.936,0.9375,94.01803169,57
1550,SD NEGERI 175 BULOBULO,SD,Negeri,154,10,4,8,5500,2041,70,-5.645916,120.298732,-0.326601807,-0.178444736,2,0,1,0.096794469,0.909090909,0.997859045,0.980442053,0.92,0.875,93.98316719,58
959,SD NEGERI 67 WAJI,SD,Negeri,84,7,1,6,5500,2654,70,-4.540261,120.217501,-1.274670437,0.066346044,2,0,1,0.052796983,0.931818182,0.997204805,0.980442053,0.944,0.96875,93.98194859,59
3119,SD NEGERI 269 LAMBATU,SD,Negeri,179,16,1,11,1300,4223,70,-2.589894,121.20828,-0.344323935,-0.595450011,2,0,1,0.112507857,0.875,0.995530249,0.995710339,0.872,0.96875,93.95156612,60
5300,UPT SDN 186 INPRES BONTOA,SD,Negeri,203,9,1,8,3500,4321,71,-5.458992,119.49455,-0.791770663,-0.432202602,2,0,0.956521739,0.127592709,0.909090909,0.995425656,0.987712665,0.928,0.96875,93.88840684,61
3520,UPTD SDN 245 CABBELLA,SD,Negeri,93,7,1,7,2200,4899,70,-5.004727,119.586367,-1.205723239,-0.017299449,2,0,1,0.058453803,0.920454545,0.994808771,0.992438563,0.944,0.96875,93.84631393,62
