No,Nama Sekolah,BP,Status,siswa_total,jumlah_guru,staf_total,jumlah_ruangan,daya_listrik,wilayah_total,skor_akreditasi,Lintang,Bujur
7374,SMP NEGERI 3 BUA PONRANG,SMP,Negeri,506,31,8,20,3500,4418,98,2604072,120339506
7375,SMP NEGERI SATU ATAP PACCERAKANG,SMP,Negeri,154,17,5,9,1300,4466,93,2600907,120345147
7376,SMP Islam Kawarrang,SMP,Swasta,3,3,1,4,2200,2617,82,2608944,120336352
7377,SMP PARADIBA PASSAMPA,SMP,Swasta,41,5,0,4,3500,3166,95,2611662,120334835
7378,SMP NEGERI 1 ANDULAN SATU ATAP,SMP,Negeri,33,9,4,5,3500,1826,96,2596437,120341016
7379,SMP Negeri 1 Bosso,SMP,Negeri,25,11,2,8,900,896,95,2602451,120326733
7380,SMP NEGERI 2 LAMASI,SMP,Negeri,630,32,14,25,1300,3896,83,2613373,120336698
7381,SMP NEGERI 3 LAMASI,SMP,Negeri,253,23,6,21,900,4875,79,2606921,120333375
7382,SMP SATAP MATALUNTUN,SMP,Negeri,33,12,4,5,1300,3673,89,2604813,120330277
7383,SMP SATAP TOBAKKUNG,SMP,Negeri,50,8,8,7,1300,1556,74,2612217,120326134
7384,SMPN 1 WALENRANG UTARA,SMP,Negeri,40,10,6,5,2200,3928,79,2609495,120331272
7385,SMP ISLAM AL  MURABBI,SMP,Swasta,51,1,0,3,2200,3583,76,2606393,120332949
7386,SMP ISLAM INTEGRAL HIDAYATULLAH,SMP,Swasta,63,5,1,3,5500,2917,97,2599394,120338419
7387,SMP IT BABUSSALAM,SMP,Swasta,128,12,1,5,1300,1723,73,2597235,120327867
7388,SMP NEGERI 3 BELOPA,SMP,Negeri,373,24,6,17,5500,4767,74,2605457,12034426
7389,SMP NEGERI SATAP BALUBU,SMP,Negeri,50,7,3,6,1300,3046,77,2602066,12034206
7390,SMP INTEGRAL AL JIHAD BELOPA,SMP,Swasta,54,7,1,4,3500,3281,73,2609656,120341318
7391,SMP ISLAM TERPADU WAHDAH ISLAMIYAH BELOPA,SMP,Swasta,137,7,1,4,900,3525,72,2613889,120331643
7392,SMP NEGERI 1 SULI,SMP,Negeri,350,23,9,25,5500,2673,96,2598993,120343403
7393,SMP NEGERI 3 CAKKEAWO,SMP,Negeri,106,16,7,9,2200,551,76,2599063,12033613
7394,SMP NEGERI 1 LAMASI,SMP,Negeri,657,42,10,37,3500,1036,87,2597629,12034043
7395,SMP NEGERI 4 LAMASI,SMP,Negeri,55,13,4,15,5500,2339,90,2614865,120335231
7396,SMP NEGERI SATAP PONGSAMELUNG,SMP,Negeri,188,15,8,11,1300,3246,77,2597189,120334332
7397,SMP HARAPAN LAMASI,SMP,Swasta,22,4,1,9,2200,1011,80,2604343,120338863
7398,SMP NUSA PRIMA LAMASI,SMP,Swasta,30,3,2,8,900,2352,91,2613594,120335231
7399,SMP Negeri 1 Babang,SMP,Negeri,55,9,2,7,2200,1048,75,2613203,120336533
7400,SMP NEGERI 1 Gandang Batu SATAP,SMP,Negeri,23,10,2,5,5500,563,86,2598931,120343081
7401,SMP NEGERI 2 Larompong,SMP,Negeri,152,12,4,14,1300,3093,82,2615026,120329641
7402,SMP NEGERI 3 LAROMPONG,SMP,Negeri,58,8,2,10,3500,2624,87,2597388,120334448
7403,SMPN 1 BATUTITTI SATAP,SMP,Negeri,17,7,1,4,2200,3077,79,2614042,120334897
7404,SMP NEGERI 2 WALENRANG,SMP,Negeri,65,10,17,11,1300,3985,73,2599501,120337155
7405,SMP NEGERI 5 WALENRANG,SMP,Negeri,71,13,5,8,900,4472,73,2598769,120339018
7406,SMP BAKTI NUSA WALENRANG,SMP,Swasta,117,3,1,8,900,611,97,2611627,120326025
7407,SMP NEGERI  1 SALUPAO SATAP,SMP,Negeri,77,10,1,8,5500,2079,76,2601217,120338638
7408,SMP NEGERI 3 WALENRANG,SMP,Negeri,141,16,6,15,5500,1156,71,2607074,120344698
7409,SMP NEGERI SATU ATAP TOLEMO,SMP,Negeri,175,13,6,12,3500,2023,79,2608947,120328466
7410,SMP KRISTEN  SETIA SERITI,SMP,Swasta,6,2,2,5,5500,3471,99,2609423,120345169
7411,SMP KRISTEN SERITI,SMP,Swasta,69,7,2,7,900,4150,74,2608067,12033538
7412,SMP NEGERI 1 BAJO,SMP,Negeri,614,36,4,23,5500,3732,81,2609584,120345163
7413,SMP NEGERI 3 BAJO,SMP,Negeri,218,21,7,13,3500,1410,73,2608091,120333486
7414,SMPS AMALIYAH BAJO,SMP,Swasta,32,5,4,5,2200,1239,75,2605539,120325457
7415,SMP 1 BILANTE SATAP,SMP,Negeri,61,7,3,5,1300,799,71,2599677,120325595
7416,SMP NEGERI 1 NOLING,SMP,Negeri,176,17,5,13,2200,647,89,2601741,120331205
7417,SMP TAMPUMIA,SMP,Swasta,73,8,6,5,5500,2918,74,2600112,120331087
7418,SMP YPN NOLING,SMP,Swasta,0,4,2,0,900,4336,94,2601551,120342103
7419,SMP NEGERI 1 TANETE,SMP,Negeri,153,17,4,8,3500,4500,82,2596699,120339539
7420,SMP NEGERI 1 WALENRANG,SMP,Negeri,176,18,3,22,1300,3701,92,2598551,12034194
7421,SMP NEGERI 4 WALENRANG,SMP,Negeri,88,8,6,12,5500,2268,93,2600546,120336459
7422,SMP SATAP POLLO PADANG,SMP,Negeri,55,6,5,6,2200,1280,74,2600315,120345008
7423,SMP KRISTEN RANTE DAMAI,SMP,Swasta,150,9,5,13,3500,4672,93,2598665,120332559
7424,SMP NEGERI 1 BELOPA,SMP,Negeri,720,38,11,29,5500,2354,80,2599271,120330248
7425,SMP NEGERI 4 BELOPA,SMP,Negeri,96,14,5,9,900,1042,81,2611952,120327674
7426,SMP ISLAM TERPADU ALFIRDAUS MAMOENTA,SMP,Swasta,38,8,1,5,900,4739,97,2608663,120336524
7427,SMP 1 BIDE SATAP,SMP,Negeri,46,10,4,4,1300,2714,98,2599619,120327445
7428,SMP NEGERI 2 BAJO,SMP,Negeri,41,9,3,12,900,3215,73,2601024,120342367
7429,SMP NEGERI 4 BAJO,SMP,Negeri,0,11,7,0,900,895,97,2607525,120335581
7430,SMP NEGERI SATAP SAMPEANG,SMP,Negeri,75,9,8,10,2200,3602,98,2606956,120342054
7431,SMP ISLAM TERPADU BAJO,SMP,Swasta,28,6,4,6,2200,3105,90,2601823,120333617
7432,SMP NEGERI 1 TIBUSSAN SATAP,SMP,Negeri,23,14,1,4,900,1343,74,2603035,120327542
7433,SMP NEGERI 3 BASTEM,SMP,Negeri,43,6,3,9,5500,2927,78,2606672,120333114
7434,SMPN 1 Pangi Satap,SMP,Negeri,18,9,2,3,2200,4790,85,2603201,120330374
7435,SMPN 1 TABANG SATU ATAP,SMP,Negeri,28,9,1,6,5500,843,78,2596653,120340735
7436,SMPN 1 ULUSALU,SMP,Negeri,48,12,2,4,1300,4169,71,261323,120342434
7437,SMP NEGERI 1 BASTEM,SMP,Negeri,125,12,3,12,2200,3363,88,2596331,120329572
7438,SMP NEGERI 1 SANGGALANGI SATU ATAP,SMP,Negeri,79,10,4,6,900,4163,74,2608316,120337515
7439,SMP NEGERI 4 BASTEM,SMP,Negeri,71,9,2,8,2200,4057,77,2600987,12032661
7440,SMPN 1 BONGLO SATAP,SMP,Negeri,33,9,1,5,2200,661,92,2608216,120333807
7441,SMPN 1 TONGKONAN SATAP,SMP,Negeri,45,6,2,5,900,2595,94,2611539,120333006
7442,SMPN 1 TOPONDAN SATAP,SMP,Negeri,10,6,1,3,3500,4904,74,2612811,120341792
7443,SMPN SATAP DAMPAN,SMP,Negeri,40,10,5,5,1300,2550,84,2596519,12032715
7444,SMP NEGERI 2 BELOPA,SMP,Negeri,454,27,10,24,5500,2265,93,2607316,12034472
7445,SMP NEGERI 2 KAMANRE,SMP,Negeri,110,13,5,8,2200,1392,86,2605844,120344408
7446,SMP NEGERI 2 SULI,SMP,Negeri,147,17,4,12,900,1307,84,2613205,120344131
7447,SMP NEGERI SATAP KAILI,SMP,Negeri,95,11,4,6,2200,986,97,2596881,120337819
7448,SMP PONPES NURUL HIDAYAH,SMP,Swasta,22,2,2,4,900,3594,83,2602076,120326641
7449,SMP NEGERI 1 BUNTU LIMBONG SATU ATAP,SMP,Negeri,0,5,4,0,3500,2756,76,2612238,120332318
7450,SMP NEGERI 1 LEMPEPASANG SATAP,SMP,Negeri,103,13,4,6,900,3315,75,260339,120336618
7451,SMP NEGERI 1 LEWANDI SATAP,SMP,Negeri,156,18,4,7,2200,2280,81,2595952,120326554
7452,SMP NEGERI 1 TO KARONDANG SATU ATAP,SMP,Negeri,25,11,5,3,2200,1627,71,2611393,120329773
7453,SMP NEGERI SATAP PARANTA,SMP,Negeri,74,12,7,6,900,1555,70,2603277,120327751
7454,SMP SATAP SALU SIMBUANG,SMP,Negeri,0,8,5,0,1300,2409,73,2597494,120336621
7455,SMP NEGERI 1 LEMPOBATU SATAP,SMP,Negeri,45,8,2,5,3500,4283,74,2613481,120344321
7456,SMP NEGERI 2 BASTEM,SMP,Negeri,137,9,1,7,5500,3047,82,2597162,1203443
7457,SMPN 1 KUMILA SATU ATAP,SMP,Negeri,32,9,7,4,900,2774,89,2611782,120333478
7458,UPT SMP NEGERI 1 BINAMU,SMP,Negeri,537,41,8,33,900,1182,86,5676937,119729567
7459,UPT SMP NEGERI 2 BINAMU,SMP,Negeri,447,40,11,24,2200,4384,84,5677764,119736915
7460,UPT SMP NEGERI 3 BINAMU,SMP,Negeri,233,17,8,17,1300,1019,83,5680808,119740924
7461,UPT SMP NEGERI 4 BINAMU,SMP,Negeri,240,19,7,19,1300,1495,72,5664591,119732393
7462,UPT SMP NEGERI 5 BINAMU,SMP,Negeri,159,18,7,10,1300,4567,77,5672592,119728433
7463,UPT SMP NEGERI 6 BINAMU,SMP,Negeri,184,17,4,8,5500,948,88,5678852,119736713
7464,UPT SMP NEGERI 7 BINAMU,SMP,Negeri,94,17,7,8,3500,2042,79,5675795,119730973
7465,UPT SMP NEGERI 9 BINAMU,SMP,Negeri,242,16,3,10,3500,4629,97,5681633,119732569
7466,UPT SMP NEGERI SATAP 8 BINAMU,SMP,Negeri,133,14,3,6,900,4892,93,567065,119742879
7467,SMP AL AMANAH JENEPONTO,SMP,Swasta,45,7,2,5,1300,1960,70,5664126,119725963
7468,SMP Islam ArRithah,SMP,Swasta,66,6,1,5,5500,2450,74,5676681,119726957
7469,SMP Islam Nurul Hidayah,SMP,Swasta,0,0,0,0,3500,4641,73,5663648,119728457
7470,SMP IT ULUL AL BAAB,SMP,Swasta,120,10,1,7,2200,1091,93,5665276,119729676
7471,UPT SMP NEGERI 1 BONTORAMBA,SMP,Negeri,268,26,6,17,3500,2966,75,5678619,119735758
7472,UPT SMP NEGERI 2 BONTORAMBA,SMP,Negeri,278,19,9,22,2200,2255,89,5682379,119738993
7473,UPT SMP NEGERI 3 BONTORAMBA,SMP,Negeri,204,18,5,14,1300,1994,84,5673137,119735786
7474,UPT SMP NEGERI 4 BONTORAMBA,SMP,Negeri,158,14,7,10,5500,1048,92,5671727,119733737
7475,UPT SMP NEGERI 6 BONTORAMBA,SMP,Negeri,148,13,8,8,3500,1895,93,5677848,119738661
7476,UPT SMP NEGERI SATAP 5 BONTORAMBA,SMP,Negeri,48,7,2,5,2200,2812,84,5664397,119742458
7477,UPT SMP NEGERI SATAP 7 BONTORAMBA,SMP,Negeri,45,9,5,5,2200,1748,94,5678521,119730881
7478,SMP PGRI BONTORAMBA,SMP,Swasta,29,5,5,6,3500,4164,90,5677568,119726392
7479,SMPS DDI BULUSUKA,SMP,Swasta,20,2,1,5,1300,3332,75,5667069,119733613
7480,UPT SMP NEGERI 1 BANGKALA,SMP,Negeri,517,40,28,20,2200,1505,94,5672207,119734799
7481,UPT SMP NEGERI 2 BANGKALA,SMP,Negeri,273,24,17,18,1300,4920,75,5668817,11972484
7482,UPT SMP NEGERI 3 BANGKALA,SMP,Negeri,498,32,19,20,1300,4480,81,5670496,119730873
7483,UPT SMP NEGERI 4 BANGKALA,SMP,Negeri,61,9,15,8,5500,3378,74,5666611,119727645
7484,UPT SMP NEGERI 5 BANGKALA,SMP,Negeri,206,18,10,11,2200,2180,74,5680874,119742148
7485,UPT SMP NEGERI 6 BANGKALA,SMP,Negeri,117,16,15,8,900,3598,75,5673324,119723735
7486,UPT SMP NEGERI SATAP 7 BANGKALA,SMP,Negeri,69,11,5,4,2200,1655,89,5676526,11973802
7487,UPT SMP NEGERI SATAP 8 BANGKALA,SMP,Negeri,120,8,1,4,900,2145,94,5676683,119731268
7488,UPT SMP NEGERI 1 RUMBIA,SMP,Negeri,437,37,12,18,1300,3857,91,5671231,119740616
7489,UPT SMP NEGERI 2 RUMBIA,SMP,Negeri,101,11,2,9,900,3198,87,5681672,119742084
7490,UPT SMP NEGERI 4 RUMBIA,SMP,Negeri,113,13,1,9,1300,4982,84,5674661,119741725
7491,UPT SMP NEGERI SATAP 3 RUMBIA,SMP,Negeri,93,11,1,5,5500,1454,80,5671026,119723934
7492,UPT SMP NEGERI SATAP 5 RUMBIA,SMP,Negeri,76,10,1,5,3500,3564,87,5681594,119733763
7493,UPT SMP NEGERI SATAP 6 RUMBIA,SMP,Negeri,85,10,4,5,1300,2963,75,5663693,119732869
7494,SMP SANUR LOKA,SMP,Swasta,69,3,3,5,3500,2881,83,5666496,119723985
7495,SMP Sanur Tauhid Kapasa,SMP,Swasta,75,5,1,5,3500,4471,78,5679574,119730383
7496,UPT SMP NEGERI 1 TAMALATEA,SMP,Negeri,491,29,11,24,900,1059,94,5680946,119738403
7497,UPT SMP NEGERI 2 TAMALATEA,SMP,Negeri,322,26,15,18,5500,977,81,5676464,119739907
7498,UPT SMP NEGERI 3 TAMALATEA,SMP,Negeri,178,15,8,11,5500,4797,90,5677347,119724865
7499,UPT SMP NEGERI 4 TAMALATEA,SMP,Negeri,209,20,6,12,1300,4108,89,5674439,119739305
7500,UPT SMP NEGERI 5 TAMALATEA,SMP,Negeri,115,14,6,7,900,4221,98,5666399,119743275
7501,UPT SMP NEGERI 6 TAMALATEA,SMP,Negeri,60,8,1,7,5500,1365,74,5667068,119727945
7502,UPT SMP NEGERI 7 TAMALATEA,SMP,Negeri,210,17,7,10,3500,2916,85,5668749,119732515
7503,SMP DDI BABUSSALAM KASSI,SMP,Swasta,68,4,2,9,1300,3675,75,5668945,119737217
7504,SMP INTEGRAL PERSADA TAMALATEA,SMP,Swasta,108,10,1,5,1300,3059,93,5663427,119727713
7505,SMP YAPNAS,SMP,Swasta,0,1,2,0,2200,4637,91,5670801,119730513
7506,UPT SMP NEGERI 1 BANGKALA BARAT,SMP,Negeri,125,14,32,14,900,1235,78,5666268,119723765
7507,UPT SMP NEGERI 2 BANGKALA BARAT,SMP,Negeri,164,14,16,14,3500,3317,97,5673161,119733201
7508,UPT SMP NEGERI 3 BANGKALA BARAT,SMP,Negeri,137,13,7,11,5500,1847,88,5673619,119732217
7509,UPT SMP NEGERI 4 BANGKALA BARAT,SMP,Negeri,196,17,11,11,900,3559,75,5671241,119740813
7510,UPT SMP NEGERI 6 BANGKALA BARAT,SMP,Negeri,21,8,1,5,5500,2610,99,5664413,119724791
7511,UPT SMP NEGERI 7 BANGKALA BARAT,SMP,Negeri,95,13,4,5,1300,3174,100,5672768,119724703
7512,UPT SMP NEGERI 8 BANGKALA BARAT,SMP,Negeri,126,16,8,8,5500,2847,94,5666211,119740532
7513,UPT SMP NEGERI 9 BANGKALA BARAT,SMP,Negeri,67,14,7,6,900,576,90,5664374,119725129
7514,UPT SMP NEGERI SATAP 5 BANGKALA BARAT,SMP,Negeri,56,12,4,6,900,4694,98,5663955,119734348
7515,UPT SMP NEGERI 1 TURATEA,SMP,Negeri,208,20,6,22,900,3201,76,567138,119734208
7516,UPT SMP NEGERI 2 TURATEA,SMP,Negeri,274,21,2,15,1300,2941,91,5675395,119740621
7517,UPT SMP NEGERI 3 TURATEA,SMP,Negeri,47,13,4,12,1300,3862,89,5672188,119736966
7518,UPT SMP NEGERI 4 TURATEA,SMP,Negeri,72,9,4,7,3500,1976,80,5680512,119743577
7519,UPT SMP NEGERI 5 TURATEA,SMP,Negeri,19,10,3,7,5500,4165,77,5673553,11973639
7520,UPT SMP NEGERI 6 TURATEA,SMP,Negeri,57,20,2,7,2200,3225,82,5673951,119738513
7521,UPT SMP NEGERI 7 TURATEA,SMP,Negeri,79,17,5,9,5500,2525,74,5664589,119737725
7522,SMP ISLAM LANTAKA,SMP,Swasta,33,7,1,6,900,896,71,5676253,119730331
7523,UPT SMP NEGERI 1 ARUNGKEKE,SMP,Negeri,262,16,6,25,2200,1249,78,5671176,119734615
7524,UPT SMP NEGERI 2 ARUNGKEKE,SMP,Negeri,179,19,4,12,2200,1982,77,5676278,119743161
7525,UPT SMP NEGERI 1 KELARA,SMP,Negeri,285,26,5,17,2200,1011,87,5678976,119740442
7526,UPT SMP NEGERI 2 KELARA,SMP,Negeri,137,14,4,11,3500,2203,93,5679428,119728183
7527,UPT SMP NEGERI 3 KELARA,SMP,Negeri,132,19,5,9,1300,1868,77,5679364,119741812
7528,UPT SMP NEGERI 4 KELARA,SMP,Negeri,107,15,2,11,5500,1187,94,5663004,119740388
7529,UPT SMP NEGERI 1 TAROWANG,SMP,Negeri,374,38,8,16,1300,706,86,5666825,119734851
7530,UPT SMP NEGERI 2 TAROWANG,SMP,Negeri,192,18,5,13,2200,1165,92,5670183,119731556
7531,UPT SMP NEGERI 3 TAROWANG,SMP,Negeri,153,16,5,10,900,2318,71,5680133,119724523
7532,UPT SMP NEGERI 2 BATANG,SMP,Negeri,137,21,3,9,1300,2800,75,5670498,119732453
7533,SMP NEGERI 1 SUNGGUMINASA,SMP,Negeri,1411,54,11,36,3500,1357,91,5278564,119733074
7534,SMP NEGERI 2 SUNGGUMINASA,SMP,Negeri,112,59,7,26,5500,1941,91,5293468,119736424
7535,SMP NEGERI 3 SUNGGUMINASA,SMP,Negeri,103,60,12,36,1300,2701,91,5288083,119752318
7536,SMP NEGERI 4 SUNGGUMINASA,SMP,Negeri,1186,58,10,45,2200,3707,93,528034,119736267
7537,SMP NEGERI 5 SUNGGUMINASA,SMP,Negeri,282,18,4,12,5500,3974,76,5295783,119749399
7538,SMP AISYIYAH PACCINONGANG,SMP,Swasta,131,7,1,8,2200,3147,83,5281216,119748382
7539,SMP AISYIYAH SUNGGUMINASA,SMP,Swasta,287,16,1,11,3500,2888,84,528015,119741227
7540,SMP ALAM INSAN KAMIL,SMP,Swasta,24,3,1,4,5500,2445,83,5283119,119742798
7541,SMP BATARA GOWA,SMP,Swasta,38,5,3,6,5500,1068,86,5291993,119752291
7542,SMP CITRA SAMATA,SMP,Swasta,105,7,2,6,3500,3505,79,5295228,119749678
7543,SMP GOWA RAYA,SMP,Swasta,64,8,2,6,5500,2312,84,5295487,119738181
7544,SMP HANDAYANI GOWATA,SMP,Swasta,125,4,2,3,3500,1823,80,5287815,119733443
7545,SMP HANDAYANI SUNGGUMINASA,SMP,Swasta,113,6,6,11,2200,3036,89,5290985,119747658
7546,SMP HASANUDDIN,SMP,Swasta,127,7,2,9,900,1682,85,5292324,119740076
7547,SMP IT ALFITYAN SCHOOL,SMP,Swasta,599,41,4,23,900,1357,82,5292598,119739004
7548,SMP IT ATTAUHID BOARDING SCHOOL,SMP,Swasta,139,5,5,6,3500,2531,95,5279902,1197415
7549,SMP IT WAHDAH ISLAMIYAH GOWA,SMP,Swasta,244,22,3,12,5500,673,94,5289501,119741036
7550,SMP LAZUARDI ATHAILLAH,SMP,Swasta,23,6,1,5,1300,3347,92,5283051,119748162
7551,SMP PESANTREN GUPPI SAMATA,SMP,Swasta,90,8,2,8,3500,2898,95,5292026,119738027
7552,SMP PGRI SUNGGUMINASA,SMP,Swasta,169,7,4,18,3500,1005,71,5290581,119751042
7553,SMP SOMBA OPU,SMP,Swasta,80,7,2,12,2200,1107,91,5283168,119738453
7554,SMP YAPIP MAKASSAR SUNGGUMINASA,SMP,Swasta,63,6,3,9,1300,510,72,5283951,119744092
7555,SMP NEGERI 1 PALLANGGA,SMP,Negeri,1382,47,6,37,3500,2970,86,5288647,119748688
7556,SMP NEGERI 2 PALLANGGA,SMP,Negeri,223,15,5,16,5500,2364,90,5283705,119752361
7557,SMP NEGERI 3 PALLANGGA,SMP,Negeri,843,41,5,25,2200,505,89,5284664,119751604
7558,SMP NEGERI 4 PALLANGGA,SMP,Negeri,309,24,5,18,900,2219,76,5295017,119744094
7559,SMP NEGERI 5 PALLANGGA,SMP,Negeri,836,45,5,23,1300,2747,94,528474,119747501
7560,SMP ASKARI PALLANGGA,SMP,Swasta,386,22,3,17,2200,2443,97,5283608,119748187
7561,SMP IT MUKHLISIIN,SMP,Swasta,124,16,0,8,2200,4702,90,5293866,119750407
7562,SMP PEST PUTRI YATAMA MANDIRI,SMP,Swasta,174,7,1,6,2200,4473,79,5283216,119747021
7563,SMP NEGERI 1 BAJENG,SMP,Negeri,909,60,6,33,2200,2350,88,529392,119750846
7564,SMP NEGERI 2 BAJENG,SMP,Negeri,277,23,6,20,5500,3680,93,5287714,119741765
7565,SMP NEGERI 3 BAJENG,SMP,Negeri,458,33,7,21,5500,1546,89,5291692,119748779
7566,SMP NEGERI 4 BAJENG,SMP,Negeri,206,20,6,13,3500,3746,93,5278822,119735132
7567,SMP AKSARA BAJENG,SMP,Swasta,216,12,0,9,900,1442,83,5285917,119746892
7568,SMP ISLAM AS SUNNAH PANCIRO,SMP,Swasta,194,9,2,9,5500,4112,100,5281897,119738449
7569,SMP ISLAM AS SYAMSIAH BOARDING SCHOOL,SMP,Swasta,74,9,1,6,5500,1586,87,5283957,119747083
7570,SMP ISLAM DARUSSALAM,SMP,Swasta,55,5,1,5,3500,1895,73,5294435,119747109
7571,SMP MUHAMMADIYAH LIMBUNG,SMP,Swasta,897,44,7,28,1300,2146,95,5294172,119743649
7572,SMPIT ALMUWAHHIDIIN,SMP,Swasta,61,4,1,3,900,3464,76,52838,119736258
7573,SMP NEGERI 1 BONTONOMPO,SMP,Negeri,524,36,6,24,2200,2984,74,5283998,119736091
7574,SMP NEGERI 2 BONTONOMPO,SMP,Negeri,138,14,6,9,5500,3099,76,5284999,119732647
7575,SMP NEGERI 3 BONTONOMPO,SMP,Negeri,233,14,9,12,5500,4182,71,5291674,119741264
7576,SMP NEGERI 4 BONTONOMPO,SMP,Negeri,227,17,9,15,1300,1793,99,5294982,119734931
7577,SMP PGRI BAREMBENG,SMP,Swasta,181,9,3,11,1300,3373,88,5286336,119732847
7578,SMPIT TAHFIZH QURAN AL MULTAZAM,SMP,Swasta,0,0,0,0,3500,3257,92,5291056,119736817
7579,SMP NEGERI 1 BONTOMARANNU,SMP,Negeri,978,49,3,30,5500,3750,81,5285667,119745019
7580,SMP NEGERI 2 BONTOMARANNU,SMP,Negeri,363,24,5,17,3500,3145,84,5279199,119741567
7581,SMP NEGERI 3 BONTOMARANNU,SMP,Negeri,328,17,4,11,3500,3176,98,5285221,119733306
7582,SMP ISLAM TANWIRUS SUNNAH,SMP,Swasta,177,7,1,9,5500,1688,71,5277041,119736202
7583,SMP ISLAM TERPADU AL MUQIIT BONTOMARANNU,SMP,Swasta,35,5,1,4,5500,3600,88,5289117,11974216
7584,SMPIT AL IHSAN GOWA,SMP,Swasta,0,0,0,0,3500,1705,89,5285836,119735704
7585,SMP NEGERI 1 BAROMBONG,SMP,Negeri,474,24,7,20,3500,3208,99,5287612,119751493
7586,SMP NEGERI 2 BAROMBONG,SMP,Negeri,1049,47,8,20,900,833,75,5290237,119751912
7587,SMP NEGERI 3 BAROMBONG,SMP,Negeri,54,16,2,6,3500,3944,82,5284917,119751148
7588,SMPIT AL QALAM GOWA BOARDING SCHOOL,SMP,Swasta,89,10,3,9,1300,2622,91,5291625,119737524
7589,SMP NEGERI 1 PATTALLASSANG,SMP,Negeri,257,12,4,35,5500,2919,97,5289848,119745524
7590,SMP NEGERI 2 PATTALLASSANG,SMP,Negeri,607,23,2,15,2200,4016,77,5276395,119742748
7591,SMP NEGERI 3 PATTALLASSANG,SMP,Negeri,373,19,5,14,3500,1588,85,5277003,119751137
7592,SMP NEGERI SATAP GANRANG JAWA II,SMP,Negeri,102,5,0,5,3500,3938,99,5277397,119739785
7593,SMPN SATAP MONCONGLOE,SMP,Negeri,91,7,2,8,900,934,89,529191,119737493
7594,SMP INTEGRAL TAHFIDZ BOLLANGI,SMP,Swasta,0,6,1,0,5500,500,71,5279332,119740401
7595,SMP SUMBARRANG,SMP,Swasta,111,13,3,6,900,1132,86,5282606,119746149
7596,SMP NEGERI 1 TINGGIMONCONG,SMP,Negeri,379,20,2,19,1300,4550,84,5294811,119751461
7597,SMP NEGERI 2 TINGGIMONCONG,SMP,Negeri,158,14,1,15,900,2707,75,5292461,119740806
7598,SMP NEGERI 3 TINGGIMONCONG,SMP,Negeri,76,7,4,6,5500,3937,95,5280405,119749069
7599,SMP NEGERI 4 TINGGIMONCONGSATAP MANDALLE,SMP,Negeri,62,6,0,5,3500,2184,85,5288921,119741209
7600,SMP NEGERI 5 TINGGIMONCONGSATAP BULUBALLEA,SMP,Negeri,104,9,0,4,3500,4125,79,5295267,119735362
7601,SMP NEGERI 6 TINGGIMONCONG/SATAP SANGGIRINGANG,SMP,Negeri,29,5,1,5,2200,2402,88,5286426,11974208
7602,SMP NEGERI 1 TOMBOLOPAO,SMP,Negeri,254,12,4,16,5500,2494,72,5292958,119743708
7603,SMP NEGERI 2 TOMBOLO PAO,SMP,Negeri,143,10,3,8,2200,829,86,5281771,119747224
7604,SMP NEGERI 3 SATAP TOMBOLOPAO,SMP,Negeri,43,5,0,4,3500,2583,99,5290875,11974967
7605,SMP NEGERI 4 TOMBOLO PAO,SMP,Negeri,102,11,3,9,5500,669,81,5290358,119743036
7606,SMP NEGERI 5 TOMBOLO PAOSATAP BIRINGPANTING,SMP,Negeri,59,5,1,4,1300,1604,97,5293953,119744456
7607,SMP NEGERI 6 TOMBOLO PAOSATAP MAPUNG,SMP,Negeri,59,8,0,5,1300,642,93,5291984,119749909
7608,SMP NEGERI 7 TOMBOLO PAOSATAP TONASA,SMP,Negeri,43,8,0,3,5500,4210,100,5284556,119749478
7609,SMP NEGERI 8 TOMBOLO PAO/SATAP LEMBANG TEKO,SMP,Negeri,28,7,0,4,900,4604,95,5278919,11974424
7610,SMP NEGERI 1 TOMPOBULU,SMP,Negeri,268,24,4,20,2200,4563,75,5293382,119742393
7611,SMP NEGERI 2 TOMPOBULU,SMP,Negeri,118,13,0,9,900,743,84,529177,119750877
7612,SMP NEGERI 4 TOMPOBULU SATAP GARENTONG,SMP,Negeri,68,9,0,3,3500,4174,73,528327,119736455
7613,SMP NEGERI 5 TOMPOBULU SATAP BATUPEWAI,SMP,Negeri,50,8,0,5,900,573,75,5288115,119736842
7614,SMP NEGERI SATAP GARING,SMP,Negeri,64,8,3,5,5500,930,77,5288776,119739022
7615,SMP ISLAM TANGNGA PARANG,SMP,Swasta,37,7,1,2,2200,4523,83,5278838,119734826
7616,SMP IT PERMATA ALJAMI,SMP,Swasta,0,3,1,0,1300,1704,77,5291628,11975103
7617,SMP NEGERI 1 BIRINGBULU,SMP,Negeri,61,10,6,9,3500,2040,83,5291889,119751207
7618,SMP NEGERI 2 BIRINGBULU,SMP,Negeri,70,11,4,10,1300,3893,80,5291313,119734024
7619,SMP NEGERI 3 SATAP BIRINGBULU,SMP,Negeri,62,10,0,5,3500,2745,72,5290503,119739958
7620,SMP NEGERI 4 BIRINGBULU,SMP,Negeri,127,11,4,10,900,962,99,527803,119742791
7621,SMP NEGERI 5 BIRINGBULU/SATAP TARING,SMP,Negeri,34,7,0,2,900,1958,84,5281483,119733396
