No,Nama Sekolah,BP,Status,siswa_total,jumlah_guru,staf_total,jumlah_ruangan,daya_listrik,wilayah_total,skor_akreditasi,Lintang,Bujur
931,SD INPRES 12/79 SIJELLING,SD,Negeri,37,7,3,8,2200,3152,90,4549752,12021949
932,SD INPRES 12/79 TAJONG,SD,Negeri,49,6,3,6,2200,3732,93,4544587,120211972
933,SD INPRES 12/79 ULO,SD,Negeri,156,8,3,7,1300,1012,82,4555506,12021437
934,SD INPRES 3/77 LAMURUKUNG,SD,Negeri,149,7,3,7,2200,2023,77,4544216,120225203
935,SD INPRES 3/77 LANCA,SD,Negeri,27,7,2,6,5500,3427,88,4537599,120212136
936,SD INPRES 4/82 LAMURUKUNG,SD,Negeri,28,6,3,6,2200,3640,86,4545906,120216996
937,SD INPRES 4/82 PONGKA,SD,Negeri,79,5,3,7,3500,1211,100,4546598,120223283
938,SD INPRES 4/82 SIJELLING,SD,Negeri,73,8,3,7,1300,4467,82,4542327,120228097
939,SD INPRES 4/82 WAJI,SD,Negeri,75,6,3,7,1300,1461,87,4544853,120222064
940,SD INPRES 5/81 PADAIDI,SD,Negeri,100,6,2,7,3500,2329,79,454977,120225389
941,SD INPRES 5/81 PATANGNGA,SD,Negeri,74,5,3,7,3500,1182,79,4549516,120226783
942,SD INPRES 6/75 AJJALIRENG,SD,Negeri,98,6,3,6,1300,644,84,4551618,120220022
943,SD INPRES 6/75 WAJI,SD,Negeri,71,7,1,6,3500,2191,73,4546212,120216078
944,SD INPRES 6/80 MATTOANGING,SD,Negeri,78,7,2,7,5500,4620,92,4544971,120230544
945,SD INPRES 7/83 PATANGNGA,SD,Negeri,84,7,2,6,5500,4809,95,4547265,12021155
946,SD NEGERI 54 OTTING,SD,Negeri,128,6,3,7,1300,2276,100,4547552,120222583
947,SD NEGERI 55 OTTING,SD,Negeri,119,7,3,6,2200,2964,85,454853,120219507
948,SD NEGERI 56 LANCA,SD,Negeri,67,6,2,7,3500,3459,74,4548324,120227256
949,SD NEGERI 57 LANCA,SD,Negeri,60,8,2,7,5500,610,75,4543987,120218032
950,SD NEGERI 58 ULO,SD,Negeri,144,7,4,7,2200,4466,82,4556,120217461
951,SD NEGERI 59 ULO,SD,Negeri,138,7,3,7,3500,4459,81,4555738,120221259
952,SD NEGERI 60 PONGKA,SD,Negeri,124,7,3,7,3500,3109,86,4549588,120226079
953,SD NEGERI 61 PALONGKI,SD,Negeri,129,7,4,7,1300,3060,78,4539418,120229312
954,SD NEGERI 62 TAJONG,SD,Negeri,68,5,2,7,5500,4786,72,455454,1202123
